Year,Week_Number,mean_return,volatility,Label
2022,23,-1.0204,1.662262705,green
2022,24,-1.1532,2.285535539,red
2022,25,1.62375,1.515281574,green
2022,26,-0.452,1.127333358,red
2022,27,0.48575,0.696869368,red
2022,28,-0.1768,1.21631542,green
2022,29,0.5206,1.494258612,green
2022,30,0.8496,1.435963196,red
2022,31,0.0746,0.863268672,green
2022,32,0.656,1.150612228,red
2022,33,-0.231,0.764276128,red
2022,34,-0.7954,1.922521209,red
2022,35,-0.652,0.571322588,red
2022,36,0.907,0.987146392,green
2022,37,-0.9578,2.091060903,green
2022,38,-0.9262,1.0226936,red
2022,39,-0.5822,1.579194637,red
2022,40,0.337,2.495164824,red
2022,41,-0.2734,1.794276261,red
2022,42,0.9254,1.64432366,red
2022,43,0.7826,1.369130856,red
2022,44,-0.6522,1.415805848,red
2022,45,1.18,2.721263401,red
2022,46,-0.1226,0.751428174,green
2022,47,0.3975,0.754888734,green
2022,48,0.2386,1.748810396,red
2022,49,-0.6748,1.029089986,red
2022,50,-0.4134,1.547894796,green
2022,51,-0.0136,1.155305934,red
2022,52,-0.025,1.291891894,green
